topic,word,score
0,weeks,0.000217833
0,cups,0.000217087
0,medals,0.000217087
0,trade,0.000217087
0,sharks,0.000216341
0,future,0.000216341
0,1954,0.000216341
0,ireland,0.000216341
0,sevens,0.000216341
0,received,0.000215596
0,listed,0.000215596
0,expansion,0.000215596
0,collingwood,0.000215596
0,newcastle,0.00021485
0,italy,0.00021485
0,chris,0.000214104
0,averaging,0.000214104
0,nickname,0.000213358
0,alongside,0.000213358
0,backup,0.000212613
0,saints,0.000212613
0,kilda,0.000212613
0,virginia,0.000212613
0,academy,0.000211867
0,sixth,0.000211121
0,serie,0.000211121
0,nonleague,0.000211121
0,sporting,0.000210375
0,worked,0.000210375
0,caught,0.000210375
0,centre,0.000210375
0,combined,0.00020963
0,lb,0.00020963
0,taking,0.000208884
0,period,0.000208884
0,denver,0.000208884
0,forest,0.000208138
0,french,0.000208138
0,edmonton,0.000208138
0,camp,0.000208138
0,kg,0.000206647
0,ft,0.000206647
0,rfc,0.000206647
0,enjoyed,0.000206647
0,bristol,0.000205901
0,georgia,0.000205901
0,scott,0.000205901
0,local,0.000205901
0,performances,0.000205155
0,doublea,0.000205155
0,atlantic,0.000205155
0,35,0.000205155
0,put,0.000204409
0,twoyear,0.000204409
0,rushing,0.000204409
0,dave,0.000202918
0,essendon,0.000202918
0,chelsea,0.000202918
0,break,0.000202918
0,broken,0.000202918
0,43,0.000201426
0,stolen,0.000201426
0,regarded,0.000200681
0,1951,0.000200681
0,36,0.000199935
0,taylor,0.000199935
0,found,0.000199935
0,pacific,0.000199935
0,man,0.000199935
0,bobby,0.000199935
0,winger,0.000199189
0,doubles,0.000199189
0,atbats,0.000199189
0,center,0.000199189
0,thomas,0.000198443
0,ahl,0.000198443
0,receiver,0.000198443
0,northern,0.000197698
0,wigan,0.000197698
0,rejoined,0.000196952
0,giving,0.000196952
0,panthers,0.000196206
0,broncos,0.000196206
0,kicking,0.000196206
0,trial,0.00019546
0,leicester,0.00019546
0,midfield,0.00019546
0,impressive,0.000194715
0,choice,0.000193969
0,200304,0.000193969
0,surgery,0.000193969
0,raiders,0.000193969
0,martin,0.000193223
0,didnt,0.000193223
0,falcons,0.000193223
0,tom,0.000193223
0,girls,0.000192477
0,kings,0.000192477
0,native,0.000192477
0,split,0.000191732
0,weighed,0.000191732
0,seventh,0.000191732
0,robert,0.000191732
0,stay,0.000190986
0,recorded,0.000190986
0,fairest,0.000190986
0,canada,0.000190986
0,munster,0.000190986
0,victorian,0.00019024
0,lacrosse,0.00019024
0,jose,0.00019024
0,201112,0.000189494
0,graduated,0.000189494
0,afc,0.000189494
0,chiefs,0.000188749
0,grew,0.000188749
0,200405,0.000188749
0,ontario,0.000188003
0,kentucky,0.000188003
0,sanfl,0.000188003
0,front,0.000188003
0,shoulder,0.000187257
0,1st,0.000187257
0,60,0.000187257
0,leg,0.000186511
0,wide,0.000186511
0,browns,0.000185766
0,striking,0.000185766
0,established,0.000185766
0,patriots,0.000185766
0,fullback,0.00018502
0,remainder,0.00018502
0,davis,0.000183528
0,portland,0.000183528
0,limited,0.000183528
0,sold,0.000183528
0,quickly,0.000182783
0,straight,0.000182037
0,batters,0.000181291
0,sacked,0.000181291
0,reach,0.000181291
0,chance,0.000181291
0,hawthorn,0.000181291
0,elite,0.000181291
0,chose,0.000180546
0,bundesliga,0.000180546
0,teammates,0.000180546
0,jackson,0.000180546
0,aaa,0.000180546
0,rivals,0.0001798
0,hamilton,0.0001798
0,2nd,0.0001798
0,delisted,0.0001798
0,steelers,0.000179054
0,dropped,0.000179054
0,calgary,0.000179054
0,country,0.000178308
0,mls,0.000178308
0,inches,0.000178308
0,51,0.000177563
0,devils,0.000177563
0,draw,0.000177563
0,eleven,0.000177563
0,ground,0.000176817
0,44,0.000176817
0,gained,0.000176071
0,reserves,0.000176071
0,close,0.000176071
0,power,0.000175325
0,unable,0.000175325
0,held,0.00017458
0,addition,0.000173834
0,1952,0.000173834
0,wing,0.000173834
0,birmingham,0.000173834
0,oilers,0.000173834
0,cowboys,0.000173088
0,hull,0.000173088
0,exchange,0.000173088
0,euro,0.000173088
0,fall,0.000173088
0,physical,0.000172342
0,albion,0.000172342
0,pinch,0.000171597
0,umpire,0.000171597
0,senators,0.000171597
0,republic,0.000170851
0,cfl,0.000170851
0,touchdown,0.000170851
0,permanent,0.000170851
0,don,0.000169359
0,sides,0.000168614
0,management,0.000168614
0,skills,0.000168614
0,seasonin,0.000167868
0,george,0.000167868
0,201213,0.000167868
0,bill,0.000167868
0,ending,0.000167868
0,marlins,0.000167868
0,celtic,0.000167122
0,claimed,0.000166376
0,shortly,0.000166376
0,solid,0.000165631
0,39,0.000165631
0,columbus,0.000165631
0,william,0.000165631
0,52,0.000165631
0,leave,0.000165631
0,under21,0.000164885
0,xi,0.000164139
0,wales,0.000164139
0,1950,0.000163393
0,varsity,0.000163393
0,recently,0.000163393
0,immediately,0.000163393
0,earn,0.000163393
0,poor,0.000162648
0,liga,0.000162648
0,problems,0.000161902
0,ninth,0.000161902
0,friendly,0.000161902
0,recalled,0.000161902
0,1949,0.000161156
0,cut,0.000161156
0,wanderers,0.000161156
0,walker,0.00016041
0,liverpool,0.00016041
0,minute,0.00016041
0,brisbane,0.00016041
0,leeds,0.00016041
0,fort,0.000159665
0,added,0.000159665
0,63,0.000159665
0,awards,0.000159665
0,rays,0.000159665
0,3rd,0.000158919
0,assigned,0.000158919
0,geelong,0.000158173
0,representative,0.000158173
0,collected,0.000158173
0,active,0.000158173
0,memorial,0.000158173
0,arena,0.000158173
0,shot,0.000158173
0,canucks,0.000158173
0,ray,0.000157427
0,passing,0.000157427
0,receiving,0.000157427
0,38,0.000157427
0,newport,0.000156682
0,billy,0.000155936
0,balls,0.000154444
0,passes,0.000154444
0,bruins,0.000154444
0,pass,0.000153699
0,guided,0.000152953
0,rochester,0.000152953
0,54,0.000152953
0,offseason,0.000152953
0,tennessee,0.000152953
0,swans,0.000152207
0,proved,0.000152207
0,working,0.000151461
0,200203,0.000150716
0,62,0.000150716
0,threeyear,0.000150716
0,defeated,0.00014997
0,experience,0.000149224
0,robinson,0.000149224
0,initially,0.000149224
0,entered,0.000148478
0,lineup,0.000148478
0,save,0.000148478
0,softball,0.000147733
0,chester,0.000147733
0,missing,0.000147733
0,61,0.000147733
0,flames,0.000146987
0,64,0.000146987
0,challenge,0.000146241
0,posting,0.000146241
0,45,0.000146241
0,remembered,0.000146241
0,scouting,0.000146241
0,winter,0.000145495
0,47,0.000145495
0,gold,0.000145495
0,prospect,0.000145495
0,37,0.000145495
0,fielding,0.000145495
0,tech,0.00014475
0,winner,0.00014475
0,row,0.00014475
0,blacks,0.000144004
0,triple,0.000144004
0,65,0.000144004
0,anderson,0.000144004
0,twelve,0.000144004
0,famous,0.000144004
0,iowa,0.000143258
0,plymouth,0.000143258
0,boys,0.000143258
0,jr,0.000143258
0,bottom,0.000143258
0,levels,0.000142512
0,memphis,0.000142512
0,48,0.000142512
0,tackles,0.000141767
0,fk,0.000141767
0,receptions,0.000141767
0,dragons,0.000141767
0,allen,0.000141767
0,wildcats,0.000141021
0,leafs,0.000141021
0,ron,0.000141021
0,turning,0.000141021
0,quarter,0.000140275
0,moore,0.000140275
0,richard,0.000140275
0,200102,0.000140275
0,everton,0.000139529
0,cardiff,0.000139529
0,chosen,0.000138784
0,allowing,0.000138784
0,aba,0.000138784
0,involved,0.000138784
0,1948,0.000138784
0,200,0.000138784
0,frank,0.000138784
0,maple,0.000138038
0,action,0.000138038
0,colts,0.000138038
0,antonio,0.000137292
0,intercounty,0.000137292
0,fielder,0.000137292
0,infielder,0.000137292
0,told,0.000137292
0,announcer,0.000136546
0,ham,0.000136546
0,offer,0.000135801
0,200001,0.000135801
0,linebacker,0.000135801
0,rule,0.000135801
0,waived,0.000135801
0,derby,0.000135801
0,appointed,0.000135801
0,88,0.000135055
0,bat,0.000135055
0,nrl,0.000135055
0,tackle,0.000135055
0,fulltime,0.000135055
0,younger,0.000135055
0,fan,0.000135055
0,acquired,0.000135055
0,goaltender,0.000135055
0,islanders,0.000134309
0,46,0.000134309
0,villa,0.000134309
